model,step,epoch,metric,value
babyA-v15-dsl-3,250,1.1112966054535336,train_loss,4.3963
babyA-v15-dsl-3,260,1.1558152476349473,train_loss,4.2965
babyA-v15-dsl-3,270,1.2003338898163607,train_loss,4.2415
babyA-v15-dsl-3,280,1.2448525319977741,train_loss,4.2319
babyA-v15-dsl-3,290,1.2893711741791876,train_loss,4.152
babyA-v15-dsl-3,300,1.333889816360601,train_loss,4.1267
babyA-v15-dsl-3,310,1.3784084585420144,train_loss,4.0602
babyA-v15-dsl-3,320,1.4229271007234279,train_loss,3.9948
babyA-v15-dsl-3,330,1.4674457429048413,train_loss,4.0942
babyA-v15-dsl-3,340,1.5119643850862547,train_loss,3.9949
babyA-v15-dsl-3,350,1.5564830272676682,train_loss,3.9505
babyA-v15-dsl-3,360,1.6010016694490818,train_loss,3.9552
babyA-v15-dsl-3,370,1.6455203116304953,train_loss,3.8485
babyA-v15-dsl-3,380,1.6900389538119087,train_loss,3.8883
babyA-v15-dsl-3,390,1.7345575959933222,train_loss,3.8251
babyA-v15-dsl-3,400,1.7790762381747358,train_loss,3.7343
babyA-v15-dsl-3,410,1.8235948803561493,train_loss,3.7457
babyA-v15-dsl-3,420,1.8681135225375627,train_loss,3.77
babyA-v15-dsl-3,430,1.9126321647189761,train_loss,3.5998
babyA-v15-dsl-3,440,1.9571508069003896,train_loss,3.6923
babyA-v15-dsl-3,450,2.0,train_loss,3.6948
babyA-v15-dsl-3,450,2.0,eval_loss,3.49072265625
babyA-v15-dsl-3,460,2.0445186421814134,train_loss,3.575
babyA-v15-dsl-3,470,2.089037284362827,train_loss,3.6292
babyA-v15-dsl-3,480,2.1335559265442403,train_loss,3.5122
babyA-v15-dsl-3,490,2.1780745687256537,train_loss,3.5776
babyA-v15-dsl-3,500,2.222593210907067,train_loss,3.5339
babyA-v15-dsl-3,510,2.2671118530884806,train_loss,3.4544
babyA-v15-dsl-3,520,2.3116304952698945,train_loss,3.4952
babyA-v15-dsl-3,530,2.3561491374513075,train_loss,3.4846
babyA-v15-dsl-3,540,2.4006677796327214,train_loss,3.546
babyA-v15-dsl-3,550,2.445186421814135,train_loss,3.4647
babyA-v15-dsl-3,560,2.4897050639955483,train_loss,3.4186
babyA-v15-dsl-3,570,2.5342237061769617,train_loss,3.4804
babyA-v15-dsl-3,580,2.578742348358375,train_loss,3.4345
babyA-v15-dsl-3,590,2.6232609905397886,train_loss,3.3732
babyA-v15-dsl-3,600,2.667779632721202,train_loss,3.4613
babyA-v15-dsl-3,610,2.7122982749026154,train_loss,3.399
babyA-v15-dsl-3,620,2.756816917084029,train_loss,3.3824
babyA-v15-dsl-3,630,2.8013355592654423,train_loss,3.4242
babyA-v15-dsl-3,640,2.8458542014468557,train_loss,3.3986
babyA-v15-dsl-3,650,2.890372843628269,train_loss,3.4268
babyA-v15-dsl-3,660,2.9348914858096826,train_loss,3.3769
babyA-v15-dsl-3,670,2.9794101279910965,train_loss,3.4291
babyA-v15-dsl-3,675,3.0,eval_loss,3.2422471046447754
babyB-v15-dsl-3,10,0.044518642181413465,train_loss,5.8886
babyB-v15-dsl-3,20,0.08903728436282693,train_loss,5.0154
babyB-v15-dsl-3,30,0.1335559265442404,train_loss,4.5358
babyB-v15-dsl-3,40,0.17807456872565386,train_loss,4.1964
babyB-v15-dsl-3,50,0.22259321090706732,train_loss,3.9521
babyB-v15-dsl-3,60,0.2671118530884808,train_loss,3.6935
babyB-v15-dsl-3,70,0.3116304952698943,train_loss,3.6181
babyB-v15-dsl-3,80,0.3561491374513077,train_loss,3.4168
babyB-v15-dsl-3,90,0.4006677796327212,train_loss,3.3261
babyB-v15-dsl-3,100,0.44518642181413465,train_loss,3.247
babyB-v15-dsl-3,110,0.48970506399554814,train_loss,3.12
babyB-v15-dsl-3,120,0.5342237061769616,train_loss,3.0247
babyB-v15-dsl-3,130,0.5787423483583751,train_loss,2.9788
babyB-v15-dsl-3,140,0.6232609905397886,train_loss,2.8653
babyB-v15-dsl-3,150,0.667779632721202,train_loss,2.8069
babyB-v15-dsl-3,160,0.7122982749026154,train_loss,2.711
babyB-v15-dsl-3,170,0.756816917084029,train_loss,2.7007
babyB-v15-dsl-3,180,0.8013355592654424,train_loss,2.5826
babyB-v15-dsl-3,190,0.8458542014468559,train_loss,2.6351
babyB-v15-dsl-3,200,0.8903728436282693,train_loss,2.5566
babyB-v15-dsl-3,210,0.9348914858096828,train_loss,2.499
babyB-v15-dsl-3,220,0.9794101279910963,train_loss,2.4475
babyB-v15-dsl-3,225,1.0,eval_loss,2.346897602081299
babyB-v15-dsl-3,230,1.0222593210907067,train_loss,2.4305
babyB-v15-dsl-3,240,1.0667779632721202,train_loss,2.3763
babyB-v15-dsl-3,250,1.1112966054535336,train_loss,2.3884
babyB-v15-dsl-3,260,1.1558152476349473,train_loss,2.3263
babyB-v15-dsl-3,270,1.2003338898163607,train_loss,2.301
babyB-v15-dsl-3,280,1.2448525319977741,train_loss,2.2937
babyB-v15-dsl-3,290,1.2893711741791876,train_loss,2.2489
babyB-v15-dsl-3,300,1.333889816360601,train_loss,2.2308
babyB-v15-dsl-3,310,1.3784084585420144,train_loss,2.1853
babyB-v15-dsl-3,320,1.4229271007234279,train_loss,2.146
babyB-v15-dsl-3,330,1.4674457429048413,train_loss,2.2718
babyB-v15-dsl-3,340,1.5119643850862547,train_loss,2.2105
babyB-v15-dsl-3,350,1.5564830272676682,train_loss,2.1688
babyB-v15-dsl-3,360,1.6010016694490818,train_loss,2.1829
babyB-v15-dsl-3,370,1.6455203116304953,train_loss,2.0951
babyB-v15-dsl-3,380,1.6900389538119087,train_loss,2.147
babyB-v15-dsl-3,390,1.7345575959933222,train_loss,2.1126
babyB-v15-dsl-3,400,1.7790762381747358,train_loss,2.0164
babyB-v15-dsl-3,410,1.8235948803561493,train_loss,2.046
babyB-v15-dsl-3,420,1.8681135225375627,train_loss,2.0881
babyB-v15-dsl-3,430,1.9126321647189761,train_loss,1.9343
babyB-v15-dsl-3,440,1.9571508069003896,train_loss,2.0268
babyB-v15-dsl-3,450,2.0,train_loss,2.0529
babyB-v15-dsl-3,450,2.0,eval_loss,1.8806812763214111
babyB-v15-dsl-3,460,2.0445186421814134,train_loss,1.9244
babyB-v15-dsl-3,470,2.089037284362827,train_loss,2.0185
babyB-v15-dsl-3,480,2.1335559265442403,train_loss,1.8891
babyB-v15-dsl-3,490,2.1780745687256537,train_loss,1.9782
babyB-v15-dsl-3,500,2.222593210907067,train_loss,1.9359
babyB-v15-dsl-3,510,2.2671118530884806,train_loss,1.8812
babyB-v15-dsl-3,520,2.3116304952698945,train_loss,1.9245
babyB-v15-dsl-3,530,2.3561491374513075,train_loss,1.9124
babyB-v15-dsl-3,540,2.4006677796327214,train_loss,1.9761
babyB-v15-dsl-3,550,2.445186421814135,train_loss,1.8971
babyB-v15-dsl-3,560,2.4897050639955483,train_loss,1.8578
babyB-v15-dsl-3,570,2.5342237061769617,train_loss,1.94
babyB-v15-dsl-3,580,2.578742348358375,train_loss,1.8931
babyB-v15-dsl-3,590,2.6232609905397886,train_loss,1.853
babyB-v15-dsl-3,600,2.667779632721202,train_loss,1.9261
babyB-v15-dsl-3,610,2.7122982749026154,train_loss,1.8749
babyB-v15-dsl-3,620,2.756816917084029,train_loss,1.8572
babyB-v15-dsl-3,630,2.8013355592654423,train_loss,1.9249
babyB-v15-dsl-3,640,2.8458542014468557,train_loss,1.8849
babyB-v15-dsl-3,650,2.890372843628269,train_loss,1.9211
babyB-v15-dsl-3,660,2.9348914858096826,train_loss,1.8652
babyB-v15-dsl-3,670,2.9794101279910965,train_loss,1.917
babyB-v15-dsl-3,675,3.0,eval_loss,1.7513705492019653
